SAMPLE CODE,YEAR,REGION,LOCATION,SITE NAME,DEPTH ZONE,TRANSECT,Acanthurus tractus (bahianus),Acanthurus chirurgus,Acanthurus coeruleus,Aetobatus narinari,Alectis ciliaris,Balistes vetula,Calamus pennatula,Canthidermis sufflamen,Caranx bartholomaei,Caranx crysos,Caranx hippos,Caranx latus,Caranx lugubris,Caranx ruber,Carcharhinus limbatus,Carcharhinus perezii,Cephalopholis cruentata,Cephalopholis fulva,Chaetodon ocellatus,Chaetodon sedentarius,Chaetodon striatus,Decapterus macarellus,Elagatis bipinnulata,Epinephelus adscensionis,Epinephelus guttatus,Epinephelus itajara,Epinephelus striatus,Gerres cinereus,Ginglymostoma cirratum,Gymnothorax moringa,Haemulon plumierii,Holacanthus ciliaris,Holacanthus tricolor,Hypanus americanus,Istiophorus albicans,Lachnolaimus maximus,Lactophrys trigonus,Lactophrys triqueter,Lutjanus analis,Lutjanus apodus,Lutjanus cyanopterus,Lutjanus griseus,Lutjanus jocu,Lutjanus mahogoni,Lutjanus synagris,Microspathodon chrysurus,Mycteroperca interstitialis,Mycteroperca tigris,Mycteroperca venenosa,Negaprion brevirostris,Ocyurus chrysurus,Pomacanthus paru,Pterois volitans,Scarus coelestinus,Scarus iseri,Scarus taeniopterus,Scomberomorus regalis,Seriola rivoliana,Sparisoma aurofrenatum,Sparisoma chrysopterum,Sparisoma radians,Sparisoma rubripinne,Sparisoma viride,Sphyraena barracuda,Sphyraena picudilla,Trachinotus falcatus
2005Cayo CoralASEC Survey,2005,Southwest,Guanica,Cayo Coral,Very Shallow,ASEC Survey,,,,0,0,0,0,0,,374.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232.74,0,872.65,0,0,,,57.12,0,0,0,0,0,0,0,10006.37,0,0,0,818,998.2,0,0,0,1400,0,281.38,0,,0,,,535.48,0,,,,,,960.1,,0
2005DerrumbaderoASEC Survey,2005,South,Ponce,Derrumbadero,Intermediate,ASEC Survey,,,,0,0,0,0,0,,1.5,0,0,3894.62,0,0,0,0,0,0,0,0,0,0,0,1625.62,0,0,0,0,,,528.56,919.61,0,0,3040.58,0,0,2701.21,106.14,11248.65,0,4149.04,2096.53,345.42,0,0,2375.78,1400,0,377.01,0,,0,,,8206.44,0,,,,,,5602.08,,0
2005Puerto Botes 15mASEC Survey,2005,Mona/Desecheo,Isla Desecheo,Puerto Botes 15m,Intermediate,ASEC Survey,,,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1094.8,0,0,439.34,0,0,0,2190.14,,,851.2,246.3,0,0,0,0,0,0,1241.94,0,0,0,1094.41,0,0,0,0,0,0,0,0,,0,,,1000,0,,,,,,2645.49,,0
2005Puerto Botes 20mASEC Survey,2005,Mona/Desecheo,Isla Desecheo,Puerto Botes 20m,Intermediate,ASEC Survey,,,,0,0,0,0,0,,2775.33,0,0,4298.18,0,0,0,0,0,0,0,0,0,0,0,439.34,0,5100,0,0,,,1057.12,752.55,15300,0,0,0,0,0,2796.4,0,0,0,1094.41,0,0,0,0,0,0,5034.79,0,,0,,,535.48,0,,,,,,5290.98,,0
2005Puerto Canoas 30mASEC Survey,2005,Mona/Desecheo,Isla Desecheo,Puerto Canoas 30m,Mesophotic,ASEC Survey,,,,0,0,875.55,0,0,,4446.7,5855.22,0,5707.69,0,0,0,0,0,0,0,0,0,0,0,1625.62,0,10800,0,0,,,528.56,321.55,49000,0,0,579.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,,,,,,0,,0
2005Tourmaline 10mASEC Survey,2005,West,Cabo Rojo,Tourmaline 10m,Shallow,ASEC Survey,,,,0,0,0,0,0,,1299.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,439.34,0,0,0,0,,,0,511.35,0,0,0,0,0,0,4207.27,0,0,0,0,998.2,0,0,0,0,0,58.86,0,,0,,,1700,0,,,,,,1665.25,,0
2005Tourmaline 20mASEC Survey,2005,West,Cabo Rojo,Tourmaline 20m,Intermediate,ASEC Survey,,,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,5474,0,0,232.74,0,2400,0,0,,,0,1253.73,0,0,0,0,0,0,6646.07,19755.73,0,2077.94,0,1439.16,0,0,0,0,0,980.32,0,,0,,,3306.44,0,,,,,,0,,0
2005Tourmaline 30mASEC Survey,2005,West,Cabo Rojo,Tourmaline 30m,Mesophotic,ASEC Survey,,,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,439.34,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1900,0,797.01,0,,0,,,1700,0,,,,,,0,,0
2005Tres Palmas 10mASEC Survey,2005,West,Rincon,Tres Palmas 10m,Shallow,ASEC Survey,,,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232.74,0,0,0,0,,,528.56,63.97,0,0,0,0,0,0,221.44,0,0,0,0,409.49,0,0,0,0,0,0,0,,0,,,535.48,0,,,,,,0,,0
2005Tres Palmas 20mASEC Survey,2005,West,Rincon,Tres Palmas 20m,Intermediate,ASEC Survey,,,,0,0,0,0,0,,793.23,0,0,0,0,0,0,0,0,0,15.11,0,22815,0,0,1617.44,0,0,0,0,,,528.56,983.58,0,0,0,0,0,1800,0,0,0,0,652.15,345.42,0,0,0,0,0,0,0,,0,,,10000,0,,,,,,25431.19,,0
2005Tres Palmas 5mASEC Survey,2005,West,Rincon,Tres Palmas 5m,Very Shallow,ASEC Survey,,,,0,0,0,0,0,,958.59,0,53.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,3900,0,0,0,0,0,770.46,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,756.94,0,,,,,,1665.25,,0
2005West ReefASEC Survey,2005,South,Ponce,West Reef,Very Shallow,ASEC Survey,,,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,821.1,0,0,232.74,0,0,0,0,,,298.78,688.58,0,0,0,0,0,2373.42,1063.85,0,744.08,0,893.61,12144.12,0,0,0,378.95,0,5616.44,0,,0,,,1070.96,0,,,,,,1665.25,,0
2006Cayo CoralASEC Survey,2006,Southwest,Guanica,Cayo Coral,Very Shallow,ASEC Survey,,,,0,0,0,0,0,,0,0,0,0,391.22,0,0,0,0,0,0,0,0,0,0,904.82,31900,872.65,0,0,,,528.56,0,0,0,248.07,0,0,0,9614.69,0,0,0,818,70.58,0,0,0,0,0,281.38,0,,0,,,0,0,,,,,,0,,0
2006DerrumbaderoASEC Survey,2006,South,Ponce,Derrumbadero,Intermediate,ASEC Survey,,,,0,0,0,0,0,,9814.74,0,0,1947.31,483.6,0,0,0,0,0,0,0,0,0,0,439.34,0,0,0,0,,,1149.98,167.06,0,0,1991.96,0,0,2701.21,905.2,11248.65,0,2074.52,923,345.42,0,0,3521.98,1400,0,243.39,0,,0,,,2000,0,,,,,,960.1,,0
2006Puerto Botes 15mASEC Survey,2006,Mona/Desecheo,Isla Desecheo,Puerto Botes 15m,Intermediate,ASEC Survey,,,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1094.8,0,0,439.34,0,0,0,2190.14,,,851.2,167.06,0,0,0,0,0,0,17228.32,0,0,0,421.94,0,0,0,0,0,0,1716.23,0,,0,,,1000,0,,,,,,2645.49,,0
2006Puerto Botes 20mASEC Survey,2006,Mona/Desecheo,Isla Desecheo,Puerto Botes 20m,Intermediate,ASEC Survey,,,,0,0,875.55,0,0,,374.65,0,0,403.56,0,0,0,0,0,0,0,0,0,0,0,0,0,5100,0,0,,,851.2,752.55,15300,0,0,0,0,0,14120.65,0,0,0,1846,0,0,0,0,0,0,2855.66,0,,0,,,756.94,0,,,,,,3943.27,,0
2006Puerto Canoas 30mASEC Survey,2006,Mona/Desecheo,Isla Desecheo,Puerto Canoas 30m,Mesophotic,ASEC Survey,,,,0,0,0,0,0,,7043.18,6677.82,0,7331.71,0,0,0,0,0,0,0,0,0,1212.06,0,2056.78,0,11300,0,0,,,1300,1086.67,49000,0,0,579.31,0,0,12399.62,0,0,1038.97,250.53,0,0,0,0,1400,0,516.23,0,,0,,,4470.96,0,,,,,,1665.25,,0
2006Tourmaline 10mASEC Survey,2006,West,Cabo Rojo,Tourmaline 10m,Shallow,ASEC Survey,,,,0,0,0,0,0,,1299.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,439.34,0,0,0,0,,,0,0,0,0,1102.06,0,0,0,4207.27,0,0,0,0,1305.56,0,0,0,0,0,603.31,0,,0,,,1000,0,,,,,,2645.49,,0
2006Tourmaline 20mASEC Survey,2006,West,Cabo Rojo,Tourmaline 20m,Intermediate,ASEC Survey,,,,0,0,550.06,0,0,,0,0,0,0,195.61,0,0,0,0,0,0,0,2737,0,0,343.32,0,872.65,0,0,,,528.56,678.41,0,0,0,0,0,0,221.44,0,0,0,250.53,0,0,0,0,0,0,1332.29,0,,0,,,2455.44,0,,,,,,2645.49,,0
2006Tourmaline 30mASEC Survey,2006,West,Cabo Rojo,Tourmaline 30m,Mesophotic,ASEC Survey,,,,0,0,0,0,0,,0,0,365.25,0,0,0,0,0,0,0,0,0,0,0,0,439.34,0,3200,0,0,,,2500,0,0,0,1102.06,0,0,0,998.67,0,0,0,0,0,0,0,0,1900,0,717.24,0,,0,,,1000,0,,,,,,0,,0
2006Tres Palmas 10mASEC Survey,2006,West,Rincon,Tres Palmas 10m,Shallow,ASEC Survey,,,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,878.68,0,0,0,0,,,528.56,63.97,0,0,0,0,0,0,221.44,0,0,0,0,511.62,0,0,0,0,0,0,3062.16,,0,,,0,0,,,,,,2645.49,,0
2006Tres Palmas 20mASEC Survey,2006,West,Rincon,Tres Palmas 20m,Intermediate,ASEC Survey,,,,0,0,0,0,0,,1847.18,0,0,0,0,0,0,0,0,0,15.11,0,0,0,0,439.34,0,0,0,0,,,908.32,575.32,6700,0,0,0,0,0,221.44,0,0,0,0,345.42,0,0,0,0,0,1019.53,0,,0,,,2042.16,0,,,,,,1281,,0
2006Tres Palmas 5mASEC Survey,2006,West,Rincon,Tres Palmas 5m,Very Shallow,ASEC Survey,,,,0,0,0,0,0,,609.31,0,0,0,0,0,0,0,0,0,0,0,0,0,439.34,0,0,0,0,0,,,0,0,0,0,0,0,0,270.25,770.46,0,0,0,392.55,0,1997.04,0,0,0,0,222.52,0,,0,,,0,0,,,,,,0,,0
2006West ReefASEC Survey,2006,South,Ponce,West Reef,Very Shallow,ASEC Survey,,,,0,0,875.55,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232.74,0,0,0,0,,,528.56,688.58,0,0,3342.09,0,0,3103.18,1103.84,0,418.12,0,893.61,72160.48,0,0,0,0,0,10161.72,0,,0,,,2700,0,,,,,,2645.49,,0
2007Cayo CoralASEC Survey,2007,Southwest,Guanica,Cayo Coral,Very Shallow,ASEC Survey,,,,0,0,0,0,0,,1827.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,904.82,0,872.65,0,0,,,528.56,0,0,0,724.83,0,0,0,1958.78,0,0,0,818,691.81,0,0,0,378.95,7400,3271.55,0,,0,,,0,0,,,,,,0,,0
2007DerrumbaderoASEC Survey,2007,South,Ponce,Derrumbadero,Intermediate,ASEC Survey,,,,0,0,0,0,0,,4622.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,439.34,0,0,0,0,,,2196.34,344.29,0,0,1102.06,0,0,0,2209.62,0,0,0,923,345.42,0,0,0,0,0,1421.18,0,,0,,,3700,0,,,,,,960.1,,2829.58
2007Puerto Botes 15mASEC Survey,2007,Mona/Desecheo,Isla Desecheo,Puerto Botes 15m,Intermediate,ASEC Survey,,,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1094.8,0,0,0,0,0,0,0,,,2600,167.06,0,0,0,0,0,0,9213.6,0,0,0,421.94,0,0,0,0,0,0,2454.98,0,,0,,,1000,0,,,,,,3252.18,,0
2007Puerto Botes 20mASEC Survey,2007,Mona/Desecheo,Isla Desecheo,Puerto Botes 20m,Intermediate,ASEC Survey,,,,0,0,0,0,0,,374.65,0,0,1947.31,0,0,0,0,0,0,0,0,0,0,0,439.34,0,0,0,0,,,851.2,472.23,0,0,0,0,0,0,9178.23,0,0,0,974.73,0,0,0,0,0,0,2630.76,0,,0,,,1000,0,,,,,,3943.27,,0
2007Puerto Canoas 30mASEC Survey,2007,Mona/Desecheo,Isla Desecheo,Puerto Canoas 30m,Mesophotic,ASEC Survey,,,,0,3962.31,0,0,0,,7043.18,6677.82,0,7331.71,0,0,0,0,0,0,0,0,0,0,0,1318.02,0,10100,0,0,,,5400,1086.67,49000,0,0,579.31,0,0,27410.84,3202.21,0,1038.97,923,0,0,0,0,1400,0,516.23,0,,0,,,3400,0,,,,,,3949.29,,0
2007Tourmaline 10mASEC Survey,2007,West,Cabo Rojo,Tourmaline 10m,Shallow,ASEC Survey,,,,0,0,0,0,0,,1674.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,878.68,0,0,0,0,,,0,344.29,0,0,0,0,0,0,2010.01,0,0,0,250.53,1305.56,0,0,0,0,0,603.31,0,,0,,,12100,0,,,,,,3252.18,,0
2007Tourmaline 20mASEC Survey,2007,West,Cabo Rojo,Tourmaline 20m,Intermediate,ASEC Survey,,,,0,0,550.06,0,0,,0,0,0,0,195.61,0,0,0,0,0,0,0,2737,0,0,343.32,0,872.65,0,0,,,528.56,678.41,0,0,0,0,0,0,221.44,0,0,0,250.53,0,0,0,0,0,0,1332.29,0,,0,,,5455.44,0,,,,,,2645.49,,0
2007Tourmaline 30mASEC Survey,2007,West,Cabo Rojo,Tourmaline 30m,Mesophotic,ASEC Survey,,,,0,0,0,0,0,,0,0,2180.31,0,0,0,0,0,0,0,0,0,0,0,0,746.94,0,3200,0,0,,,0,0,21500,0,1102.06,0,0,0,6191.94,0,0,0,947.79,0,0,0,0,1900,0,351.97,0,,0,,,1606.44,0,,,,,,3252.18,,0
2007Tres Palmas 10mASEC Survey,2007,West,Rincon,Tres Palmas 10m,Shallow,ASEC Survey,,,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,439.34,0,0,0,0,,,528.56,63.97,0,0,0,0,0,0,327.58,0,0,0,0,1432.65,0,0,0,0,0,0,1531.08,,0,,,0,0,,,,,,5602.08,,0
2007Tres Palmas 20mASEC Survey,2007,West,Rincon,Tres Palmas 20m,Intermediate,ASEC Survey,,,,0,0,0,0,0,,2772.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,908.32,575.32,0,0,0,0,0,0,221.44,0,0,0,0,6478.35,0,0,0,0,0,1736.77,0,,0,,,1000,0,,,,,,2645.49,,0
2007Tres Palmas 5mASEC Survey,2007,West,Rincon,Tres Palmas 5m,Very Shallow,ASEC Survey,,,,0,0,0,0,0,,418.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,770.46,0,0,0,392.55,70.58,1659.38,0,0,0,0,222.52,0,,0,,,0,0,,,,,,0,,0
2007West ReefASEC Survey,2007,South,Ponce,West Reef,Very Shallow,ASEC Survey,,,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232.74,0,0,0,0,,,1598.78,688.58,0,0,724.83,0,0,0,1103.84,0,1162.2,0,643.08,1701.06,0,0,0,0,0,13479.93,2324.64,,0,,,6100,0,,,,,,1665.25,,0
2008Cayo CoralASEC Survey,2008,Southwest,Guanica,Cayo Coral,Very Shallow,ASEC Survey,,,,0,0,0,0,0,,925.11,0,0,0,0,0,0,0,0,,,,0,0,0,465.48,0,0,0,0,,,0,0,0,0,119.79,0,0,0,3157.37,0,0,0,1094.41,691.81,,0,0,0,0,1450.4,,,0,,,0,0,,,,,,0,,0
2008DerrumbaderoASEC Survey,2008,South,Ponce,Derrumbadero,Intermediate,ASEC Survey,,,,17900,0,875.55,0,0,,0,0,1652.04,0,0,0,0,0,0,,,,0,1818.09,0,439.34,0,0,0,0,,,2600,845.47,0,0,4656.31,0,0,0,1011.34,2637.3,0,0,250.53,345.42,,0,0,0,0,6133.28,,,0,,,6100,0,,,,,,5290.98,,0
2008Puerto Botes 15mASEC Survey,2008,Mona/Desecheo,Isla Desecheo,Puerto Botes 15m,Intermediate,ASEC Survey,,,,0,0,0,0,0,,0,0,0,0,0,0,0,0,1033.05,,,,1642.2,0,0,0,0,0,0,0,,,528.56,167.06,0,0,0,0,0,0,3995.3,0,0,0,672.47,0,,0,0,0,0,4297.38,,,0,,,1000,0,,,,,,960.1,,0
2008Puerto Botes 20mASEC Survey,2008,Mona/Desecheo,Isla Desecheo,Puerto Botes 20m,Intermediate,ASEC Survey,,,,0,0,1300,0,0,,374.65,0,2448.28,7278.55,0,0,0,0,0,,,,0,0,0,1186.28,0,0,0,0,,,851.2,472.23,0,0,0,0,0,0,9070.66,0,0,0,751.59,0,,0,0,0,0,3184.18,,,0,,,1000,0,,,,,,3943.27,,0
2008Puerto Canoas 30mASEC Survey,2008,Mona/Desecheo,Isla Desecheo,Puerto Canoas 30m,Mesophotic,ASEC Survey,,,,0,0,3050.06,0,0,,0,0,1461,3894.62,0,0,0,0,0,,,,0,0,0,878.68,0,3200,0,0,,,5400,1086.67,0,0,0,0,0,0,57449.85,0,0,0,4113.94,0,,0,0,4700,0,2151.72,,,0,,,3400,0,,,,,,2645.49,,0
2008Tourmaline 10mASEC Survey,2008,West,Cabo Rojo,Tourmaline 10m,Shallow,ASEC Survey,,,,0,0,0,0,0,,3184.05,0,0,0,0,0,0,0,0,,,,0,0,0,1445.16,0,872.65,0,0,,,0,344.29,0,0,0,0,0,0,212.28,0,0,0,0,1305.56,,0,0,0,18700,445.04,,,0,,,2535.48,0,,,,,,5602.08,,0
2008Tourmaline 20mASEC Survey,2008,West,Cabo Rojo,Tourmaline 20m,Intermediate,ASEC Survey,,,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,,1368.5,0,0,1756.25,0,1800,0,0,,,2600,167.06,0,0,0,0,0,0,2012.77,0,0,0,1094.41,0,,0,0,0,0,1384.8,,,0,,,455.44,0,,,,,,2645.49,,0
2008Tourmaline 30mASEC Survey,2008,West,Cabo Rojo,Tourmaline 30m,Mesophotic,ASEC Survey,,,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,,0,0,0,3681.29,0,3200,0,0,,,0,0,15300,0,2205.64,0,0,0,6837.37,0,0,0,0,0,,0,0,1900,0,703.94,,,0,,,1700,4540.35,,,,,,3252.18,,0
2008Tres Palmas 10mASEC Survey,2008,West,Rincon,Tres Palmas 10m,Shallow,ASEC Survey,,,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,,0,0,0,1186.28,0,0,0,0,,,528.56,752.55,0,0,0,0,0,0,876.6,0,0,0,0,850.53,,0,0,0,0,0,,,0,,,2000,0,,,,,,1665.25,,0
2008Tres Palmas 20mASEC Survey,2008,West,Rincon,Tres Palmas 20m,Intermediate,ASEC Survey,,,,0,0,0,0,0,,5541.54,0,0,0,0,0,0,0,0,,,,0,0,0,232.74,0,0,0,0,,,528.56,511.35,0,0,0,0,0,0,1529.54,0,0,0,381.38,0,,0,0,0,0,1055.91,,,0,,,1000,0,,,,,,2118.29,,0
2008Tres Palmas 5mASEC Survey,2008,West,Rincon,Tres Palmas 5m,Very Shallow,ASEC Survey,,,,0,0,0,0,0,,609.31,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,770.46,0,0,0,165.72,5091.57,,0,0,0,0,926.46,,,0,,,0,0,,,,,,0,,0
2008West ReefASEC Survey,2008,South,Ponce,West Reef,Very Shallow,ASEC Survey,,,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,,0,0,0,232.74,0,0,0,0,,,528.56,688.58,0,0,0,0,0,0,10685.57,3202.21,790.16,2074.52,3599.71,5276.62,,0,0,0,0,12845.82,,,0,,,3400,1630.66,,,,,,1665.25,,0
