SAMPLE CODE,REGION,LOCATION,Acanthurus tractus (bahianus),Acanthurus chirurgus,Acanthurus coeruleus,Aetobatus narinari,Alectis ciliaris,Balistes vetula,Calamus pennatula,Canthidermis sufflamen,Caranx bartholomaei,Caranx crysos,Caranx hippos,Caranx latus,Caranx lugubris,Caranx ruber,Carcharhinus limbatus,Carcharhinus perezii,Cephalopholis cruentata,Cephalopholis fulva,Chaetodon ocellatus,Chaetodon sedentarius,Chaetodon striatus,Decapterus macarellus,Elagatis bipinnulata,Epinephelus adscensionis,Epinephelus guttatus,Epinephelus itajara,Epinephelus striatus,Gerres cinereus,Ginglymostoma cirratum,Gymnothorax moringa,Haemulon plumierii,Holacanthus ciliaris,Holacanthus tricolor,Hypanus americanus,Istiophorus albicans,Lachnolaimus maximus,Lactophrys trigonus,Lactophrys triqueter,Lutjanus analis,Lutjanus apodus,Lutjanus cyanopterus,Lutjanus griseus,Lutjanus jocu,Lutjanus mahogoni,Lutjanus synagris,Microspathodon chrysurus,Mycteroperca interstitialis,Mycteroperca tigris,Mycteroperca venenosa,Negaprion brevirostris,Ocyurus chrysurus,Pomacanthus paru,Pterois volitans,Scarus coelestinus,Scarus iseri,Scarus taeniopterus,Scomberomorus regalis,Seriola rivoliana,Sparisoma aurofrenatum,Sparisoma chrysopterum,Sparisoma radians,Sparisoma rubripinne,Sparisoma viride,Sphyraena barracuda,Sphyraena picudilla,Trachinotus falcatus
2021Cayo Diablo (2016)1,EAST,Fajardo,0,0,2118.75,0,0,0,0,0,0,0,0,0,0,931.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,351.97,0,0,0,0,213.72,0,0,0,0,0,417.67,13.94,0,0,0
2021Cayo Diablo (2016)2,EAST,Fajardo,561.3,99.56,21.38,0,0,0,0,0,0,0,0,0,0,64.48,0,0,88.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.7,0,0,438.18,0,0,0,482.21,0,0,0
2021Cayo Diablo (2016)3,EAST,Fajardo,268.21,99.56,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,188.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.86,0,0,62.31,0,0,0,724.35,0,0,0
2021Cayo Diablo (2016)4,EAST,Fajardo,199.64,9.25,10.69,0,0,0,0,0,0,0,0,0,0,8.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,654.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,409.36,97.19,0,0,113.82,0,0,0,12.02,0,0,0
2021Cayo Diablo (2016)5,EAST,Fajardo,336.78,0,43.69,0,0,0,0,0,0,0,0,0,0,891.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,351.97,0,0,0,0,61.74,0,0,54.13,0,0,0,1.28,0,0,0
2021Cayo Ratones1,EAST,Salinas,155.95,78.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.14,0,0,0,0,0,0,0,0,0,0,222.52,0,0,0,0,5.94,0,0,438.38,0,0,0,0,0,0,0
2021Cayo Ratones2,EAST,Salinas,10.69,0,10.69,0,0,0,0,0,0,0,0,0,0,0,0,0,88.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.52,0,0,333.11,0,0,0,251.07,0,0,0
2021Cayo Ratones3,EAST,Salinas,1.86,0.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.09,0,0,113.45,0,0,0,123.07,0,0,0
2021Cayo Ratones4,EAST,Salinas,236.45,0,21.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250.53,0,0,0,0,0,0,0,0,0,0,0,106.86,0,0,143.41,0,0,0,11.38,0,0,0
2021Cayo Ratones5,EAST,Salinas,112.26,9.25,11.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.74,0,0,528.65,0,0,0,0,0,0,0
2021Cayo Rodriguez1,WEST,Mayagüez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021Cayo Rodriguez2,WEST,Mayagüez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.16,0,0,455.68,0,0,0,0,0,0,0
2021Cayo Rodriguez3,WEST,Mayagüez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255.44,0,0,0,0,0,0,0,0,0,0
2021Cayo Rodriguez4,WEST,Mayagüez,0,0,43.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.86,0,0,0,0,0,0,0,0,0,0,0,974.14,0,0,0
2021Cayo Rodriguez5,WEST,Mayagüez,43.69,0,112.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.98,0,0,0,0,0,0,0,0,0,0,0,446.79,0,0,0
2021Dominos1,NORTH,San Juan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,337.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021Dominos2,NORTH,San Juan,0,0,199.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021Dominos3,NORTH,San Juan,0,0,156.57,0,0,0,0,0,0,0,0,0,0,8.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021Dominos4,NORTH,San Juan,0,99.56,561.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021Dominos5,NORTH,San Juan,0,0,11.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,337.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,446.79,0,0,0
2021El Negro 5m1,WEST,Cabo Rojo,54.38,1.04,54.38,0,0,0,0,0,0,0,0,0,0,0,0,0,176.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.77,0,0,37.77,0,0,0,133.81,0,0,0
2021El Negro 5m2,WEST,Cabo Rojo,0,0,0,0,0,875.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.86,88.26,0,0,24.91,0,0,0,726.27,0,0,0
2021El Negro 5m3,WEST,Cabo Rojo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.04,0,0,0,0,0,0,0,746.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.9,0,0,105.27,0,0,0,241.47,0,0,0
2021El Negro 5m4,WEST,Cabo Rojo,0,38.37,1.24,0,0,0,0,0,0,0,0,0,0,0,0,0,120.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204.68,36.42,0,0,45.95,0,0,0,894.86,0,0,0
2021El Negro 5m5,WEST,Cabo Rojo,0,38.37,43.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.42,0,0,113.45,0,0,0,12.02,0,0,0
2021Gallardo (2019)1,WEST,Cabo Rojo,0,0.52,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,477.74,0,0,37.77,0,0,0,723.71,0,0,0
2021Gallardo (2019)2,WEST,Cabo Rojo,0,0,54.38,0,0,0,0,0,0,0,0,0,0,0,0,0,88.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.86,473.87,0,0,113.45,0,0,0,228.81,0,0,0
2021Gallardo (2019)3,WEST,Cabo Rojo,0,0,112.26,0,0,0,0,0,0,0,0,0,0,0,0,0,32.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.86,0,0,0,8.43,20.58,0,0,143.04,0,0,0,273.83,0,0,0
2021Gallardo (2019)4,WEST,Cabo Rojo,0,0,122.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180.81,0,0,0,447.43,0,0,0
2021Gallardo (2019)5,WEST,Cabo Rojo,0,0,88.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222.52,0,0,0,0,41.16,0,0,0,0,0,0,23.4,0,0,0
2021Maria Langa 5m1,SOUTH,Guayanilla,43.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255.44,0,0,265.61,0,0,417.67,0,0,0,0
2021Maria Langa 5m2,SOUTH,Guayanilla,268.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.51,0,0,105.27,0,0,0,0,0,0,0
2021Maria Langa 5m3,SOUTH,Guayanilla,0,0,224.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,408.36,0,0,105.27,0,0,0,0,0,0,0
2021Maria Langa 5m4,SOUTH,Guayanilla,199.64,199.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021Maria Langa 5m5,SOUTH,Guayanilla,0,0,112.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204.68,0,0,0,227.84,0,0,0,1144.65,0,0,0
2021Media Luna 5m (Parguera)1,SOUTH,La Parguera,0.62,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.9,0,0,227.84,0,0,0,1.28,0,0,0
2021Media Luna 5m (Parguera)2,SOUTH,La Parguera,0,0,10.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.43,271.78,0,0,0,0,0,0,505.35,0,0,0
2021Media Luna 5m (Parguera)3,SOUTH,La Parguera,1.24,0,124.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.63,192.36,0,0,333.11,0,1,0,1.92,0,0,0
2021Media Luna 5m (Parguera)4,SOUTH,La Parguera,199.64,0,122.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,727.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112.8,0,0,0,0,0,0,263.09,0,0,0
2021Media Luna 5m (Parguera)5,SOUTH,La Parguera,43.69,0,87.38,0,0,0,0,0,0,0,0,0,0,0,0,0,188.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.42,0,0,37.77,0,0,0,446.79,0,0,0
2021Tres Palmas 5m1,WEST,Rincon,224.52,0,43.69,0,0,0,0,0,0,0,0,0,0,42.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3359.05,493.97,0,0,0
2021Tres Palmas 5m2,WEST,Rincon,0,0,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,620.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1381.52,0,0,0,0
2021Tres Palmas 5m3,WEST,Rincon,410.9,0,156.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,835.34,0.64,0,0,0
2021Tres Palmas 5m4,WEST,Rincon,0,9.77,0,0,0,0,0,0,0,0,0,0,0,24.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,399.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,723.07,0,0,0
2021Tres Palmas 5m5,WEST,Rincon,336.78,0,0,0,0,0,0,0,0,0,0,0,0,16.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461.18,0,0,0,0
2021West Reef1,SOUTH,Ponce,424.16,0,112.26,0,0,0,0,0,0,0,0,0,0,0,0,0,88.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204.68,506.52,0,0,227.84,0,1.5,0,0,0,0,0
2021West Reef2,SOUTH,Ponce,112.26,0,224.52,0,0,0,0,0,0,0,0,0,0,0,0,0,554.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453.48,0,0,455.68,0,2,0,0,0,0,0
2021West Reef3,SOUTH,Ponce,199.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204.68,11.88,0,0,0.37,0,0,0,0.64,0,0,0
2021West Reef4,SOUTH,Ponce,0,0,224.52,0,0,0,0,0,0,0,0,0,0,0,0,0,188.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,620.97,0,0,0,15.26,0,0,0,0,0,0,222.52,0,0,0,604.62,358.34,0,0,236.02,0,0,0,0,0,0,0
2021West Reef5,SOUTH,Ponce,98.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1487.02,0,101.94,0,0,0,0,0,0,0,0,407.05,0,0,0,1209.85,9.9,0,1630.66,0,0,0,0,122.43,0,0,0
